0,118,1,1245.80,655.50,63.10,94.40,48.50,57.90,0.00
0,119,0,1094.20,551.40,71.20,95.60,45.10,55.20,0.00
0,120,1,478.30,1154.60,76.00,107.00,38.90,67.60,0.00
0,121,0,821.90,488.70,56.40,78.20,36.40,51.30,0.00
0,122,2,1096.70,395.90,46.90,73.90,42.90,49.20,0.00
0,123,1,1507.10,273.20,46.60,70.10,51.90,44.90,0.00
0,124,-1,415.60,1293.00,84.90,102.80,39.50,69.60,0.00
0,125,1,1028.40,373.90,41.60,67.20,40.40,47.30,0.00
0,126,0,792.30,989.20,71.50,99.60,43.00,63.90,0.00
0,127,0,428.40,836.00,64.60,70.80,30.20,61.30,0.00
0,128,0,1360.60,132.20,35.20,47.20,46.10,29.90,0.00
0,129,1,769.70,310.80,30.10,45.70,24.20,35.70,0.00
0,130,0,699.70,393.00,34.70,52.70,25.30,42.40,0.00
0,131,0,552.50,558.50,40.10,57.20,25.00,51.00,0.00
0,132,1,1576.80,87.00,23.80,40.00,53.00,24.90,0.00
0,133,3,473.20,439.80,26.40,34.80,4.10,36.30,0.00
0,134,2,1266.10,34.00,19.40,30.10,36.60,2.40,0.00
0,135,0,983.60,224.70,36.20,46.20,32.80,32.90,0.25
0,136,0,1343.70,1322.30,95.20,93.50,51.50,66.70,0.00
0,137,1,977.50,216.10,27.60,38.50,31.40,30.60,0.25
0,138,1,1797.30,1289.90,103.70,109.80,55.60,66.50,0.00
0,139,1,1848.00,184.60,30.60,57.10,60.60,37.70,0.00
0,140,1,1817.40,532.90,57.40,95.90,57.30,55.30,0.00
0,141,4,2675.60,422.60,36.00,48.40,88.70,42.50,0.00
0,142,0,1769.30,147.60,26.60,47.80,58.90,33.70,0.00
0,407,2,2593.10,1297.20,130.60,157.40,64.20,68.90,0.00
6,118,1,1233.80,673.10,68.80,105.30,48.50,58.40,0.00
6,119,0,1075.90,570.10,68.40,100.10,44.90,55.80,0.00
6,120,1,459.00,1167.50,83.80,102.30,38.70,67.70,0.00
6,121,0,813.70,499.40,49.60,72.00,36.10,51.50,0.00
6,122,2,1091.80,409.40,48.90,70.80,43.00,49.60,0.00
6,123,1,1497.70,278.60,49.30,69.10,51.70,45.10,0.00
6,125,1,1020.20,386.10,41.60,67.00,40.30,47.80,0.00
6,126,0,753.80,1012.40,61.00,91.00,42.40,64.20,0.00
6,127,0,405.00,883.80,52.70,73.60,30.60,62.70,0.00
6,128,0,1354.10,134.40,31.80,47.10,45.90,30.20,0.00
6,129,1,776.60,307.40,35.40,47.20,24.70,35.80,0.00
6,130,0,696.30,398.90,34.30,51.40,25.30,42.60,0.00
6,131,0,545.20,564.50,41.40,62.10,25.20,51.50,0.00
6,132,1,1575.00,87.20,25.90,40.60,53.00,25.00,0.00
6,133,3,469.10,441.40,29.10,37.30,4.20,36.70,0.00
6,134,2,1264.70,34.10,20.40,30.80,36.60,2.60,0.00
6,135,0,965.20,222.70,44.80,52.50,32.20,32.80,0.44
6,136,0,1297.10,1329.10,119.70,104.50,51.20,66.90,0.00
6,137,1,973.20,217.60,31.70,44.10,31.60,31.40,0.44
6,138,1,1811.50,1279.70,91.10,100.80,55.70,66.30,0.00
6,139,1,1838.80,188.50,33.00,57.70,60.40,38.10,0.00
6,140,1,1807.50,534.30,59.30,92.80,57.10,55.30,0.00
6,141,4,2676.10,424.30,35.50,48.20,88.60,42.70,0.00
